year,iso3_o,iso3_d,X_ij_usd,home,area_km2,d_HM_polygon,d_HM_cepii
2015,BHS,BHS,0.0,1,12660.458574167305,42.53285980814658,32.0
2015,BIH,BIH,0.0,1,51837.34398431775,86.0639425410148,8.0
2015,BLR,BLR,0.0,1,207094.82834368097,172.0221982574769,46.0
2015,BLZ,BLZ,0.0,1,22421.38073702063,56.60190434828568,32.0
2015,BOL,BOL,0.0,1,1092895.4562693115,395.1747402884128,85.0
2015,BRA,BRA,0.0,1,8523997.165858809,1103.6249614966569,260.0
2015,BRB,BRB,0.0,1,446.87636928130553,7.990860725040984,32.0
2015,BRN,BRN,0.0,1,5754.598388852121,28.67526078470808,32.0
2015,BTN,BTN,0.0,1,40578.24402617018,76.14589420984879,32.0
2015,BWA,BWA,0.0,1,581814.8521827072,288.33161734177935,32.0
2015,CAF,CAF,0.0,1,622033.2977327451,298.1306884718561,32.0
2015,CAN,CAN,0.0,1,9916643.681172984,1190.3706785586135,199.0
2015,CHE,CHE,670789926.912,1,41418.624990723096,76.93034940399937,37.0
2015,CHL,CHL,0.0,1,738017.5908693884,324.7380833582432,59.0
2015,CHN,CHN,0.0,1,9394405.830446983,1158.6026701671908,494.0
2015,CIV,CIV,0.0,1,322759.69040064607,214.7531345101104,20.0
2015,CMR,CMR,0.0,1,467375.59970941115,258.4240236036874,31.0
2015,COG,COG,0.0,1,347204.11493899877,222.73696524467996,15.0
2015,COL,COL,0.0,1,1142648.2428770713,404.06956901861207,116.0
2015,COM,COM,0.0,1,1682.493902864923,15.505172986446702,32.0
2015,CPV,CPV,0.0,1,3949.174014878394,23.754888797758053,32.0
2015,CRI,CRI,0.0,1,51475.48962436054,85.76302866996566,13.0
2015,CUB,CUB,0.0,1,110468.82889067553,125.63763172547172,30.0
2015,CYP,CYP,0.0,1,5407.600046404226,27.797270155061046,32.0
2015,CZE,CZE,0.0,1,78672.97539094547,106.02606757145968,45.0
2015,DEU,DEU,0.0,1,357176.7668533978,225.91312714507023,
2015,DEU,DEU,0.0,1,357176.7668533978,225.91312714507023,
2015,DEU,DEU,0.0,1,357176.7668533978,225.91312714507023,
2015,DEU,DEU,0.0,1,357176.7668533978,225.91312714507023,99.0
2015,DJI,DJI,0.0,1,21982.29167780024,56.04493236743664,4.0
2015,DMA,DMA,0.0,1,734.5382348557262,10.24488457770159,32.0
2015,DNK,DNK,0.0,1,42589.84994869746,78.01047482915898,20.0
2015,DOM,DOM,0.0,1,48697.897679164045,83.41707796336226,23.0
2015,DZA,DZA,0.0,1,2317478.592597702,575.450182194487,53.0
2015,ECU,ECU,0.0,1,256729.01893487625,191.53023739211406,42.0
2015,EGY,EGY,0.0,1,1005118.657888946,378.9732304412443,50.0
2015,ESP,ESP,0.0,1,507461.4824634778,269.2783318782355,121.0
2015,EST,EST,0.0,1,45678.20650077827,80.7894009964829,12.0
2015,ETH,ETH,0.0,1,1134602.9167184194,402.64453991105336,
2015,ETH,ETH,0.0,1,1134602.9167184194,402.64453991105336,
2015,ETH,ETH,0.0,1,1134602.9167184194,402.64453991105336,
2015,ETH,ETH,0.0,1,1134602.9167184194,402.64453991105336,24.0
2015,FIN,FIN,0.0,1,331677.3179975462,217.6996610411212,39.0
2015,FJI,FJI,0.0,1,19034.235879353542,52.151594331876524,32.0
2015,FRA,FRA,2433561919.488,1,637161.2161776394,301.7341962810664,130.0
2015,FSM,FSM,0.0,1,637.9735666724608,9.547753736108024,32.0
2015,GAB,GAB,0.0,1,261718.20298380536,193.3823489650909,9.0
2015,GBR,GBR,0.0,1,243280.44674586668,186.4461709530193,97.0
2015,GEO,GEO,0.0,1,69617.74863207864,99.73781589820443,16.0
2015,GHA,GHA,0.0,1,240212.93102381073,185.26699507608285,31.0
2015,GIN,GIN,0.0,1,245839.37435399264,187.4241661524843,11.0
2015,GMB,GMB,0.0,1,10564.199300363442,38.85242755131386,5.0
2015,GNB,GNB,0.0,1,33031.11456146878,68.70075035336188,7.0
2015,GNQ,GNQ,0.0,1,26850.91556444187,61.941171620309674,5.0
2015,GRC,GRC,0.0,1,131537.62362312668,137.0960247540347,42.0
2015,GRD,GRD,0.0,1,349.3907794640942,7.065706381320088,32.0
2015,GRL,GRL,0.0,1,2142676.2084874306,553.3222573704224,32.0
2015,GTM,GTM,0.0,1,109437.32719823354,125.04968589583258,18.0
2015,GUM,GUM,0.0,1,567.5751711436208,9.005577349088838,32.0
2015,GUY,GUY,0.0,1,212614.39664711032,174.29952377491486,32.0
2015,HKG,HKG,0.0,1,1041.1643982460757,12.197182473166938,12.0
2015,HND,HND,0.0,1,112893.86318110784,127.0091570596312,22.0
2015,HRV,HRV,0.0,1,55023.085972933804,88.66910777508474,15.0
2015,HTI,HTI,0.0,1,27034.594813205957,62.15267124130387,9.0
2015,HUN,HUN,0.0,1,93154.74691409993,115.37251542239886,32.0
2015,IDN,IDN,0.0,1,1892366.613635288,519.9989958936168,
2015,IDN,IDN,0.0,1,1892366.613635288,519.9989958936168,
2015,IDN,IDN,0.0,1,1892366.613635288,519.9989958936168,
2015,IDN,IDN,0.0,1,1892366.613635288,519.9989958936168,86.0
2015,IND,IND,2111751061.504,1,3165389.0057574804,672.5327087153261,395.0
2015,IRL,IRL,0.0,1,69315.0590053111,99.5207556686765,18.0
2015,IRN,IRN,0.0,1,1627124.0526065666,482.18111717201833,135.0
2015,IRQ,IRQ,0.0,1,438564.0851914716,250.3320167423102,70.0
2015,ISL,ISL,0.0,1,101950.44024513745,120.69642847878215,32.0
2015,ISR,ISR,0.0,1,22169.560574984076,56.283151716848806,34.0
2015,ITA,ITA,0.0,1,301351.37690756936,207.50877013614726,124.0
2015,JAM,JAM,0.0,1,11092.81996975093,39.81262825065287,12.0
2015,JOR,JOR,0.0,1,89139.83724395768,112.85889265278252,13.0
2015,JPN,JPN,0.0,1,374167.98425907677,231.22414301295373,164.0
2015,KAZ,KAZ,0.0,1,2712412.5162758897,622.5550154093993,158.0
2015,KEN,KEN,0.0,1,589637.1364584223,290.26340166363053,28.0
2015,KGZ,KGZ,0.0,1,199157.4872629571,168.69343650445052,32.0
2015,KHM,KHM,0.0,1,182160.7470405875,161.33450676348272,11.0
2015,KIR,KIR,0.0,1,956.2439777720776,11.689184752366307,32.0
2015,KNA,KNA,0.0,1,265.5918797909252,6.160376602877817,32.0
2015,KOR,KOR,0.0,1,98741.41387571572,118.78170015010264,47.0
2015,KWT,KWT,0.0,1,17535.10850282341,50.05576408425341,22.0
2015,LAO,LAO,0.0,1,229338.99422804554,181.02510920184565,10.0
2015,LBN,LBN,0.0,1,10029.577474047637,37.85656328663984,15.0
2015,LBR,LBR,0.0,1,95923.87877338374,117.07474813028833,9.0
2015,LCA,LCA,0.0,1,608.7476692878207,9.326496295773998,32.0
2015,LKA,LKA,0.0,1,66722.4750185244,97.64183671612975,7.0
2015,LSO,LSO,0.0,1,30210.60287402155,65.7021471197819,32.0
2015,LTU,LTU,0.0,1,64786.082368033276,96.21454397144288,13.0
2015,LUX,LUX,0.0,1,2605.6048862846137,19.295416006986233,32.0
2015,LVA,LVA,0.0,1,64402.9934794647,95.9296573822608,14.0
2015,MAC,MAC,0.0,1,30.221151637923683,2.0780470258689343,2.0
2015,MAR,MAR,0.0,1,593756.8490366904,291.27565161618014,67.0
2015,MDA,MDA,0.0,1,33189.91853806769,68.86569893222746,10.0
2015,MDG,MDG,0.0,1,596082.7358924358,291.8455920303061,19.0
2015,MDV,MDV,0.0,1,109.46782377238463,3.9549692257994122,32.0
2015,MEX,MEX,0.0,1,1966640.452981871,530.105549141174,204.0
2015,MHL,MHL,0.0,1,165.88526123999128,4.868596324476301,32.0
2015,MKD,MKD,0.0,1,25405.75394094823,60.25122901236612,11.0
2015,MLI,MLI,0.0,1,1259626.3884270475,424.2489161622844,17.0
2015,MLT,MLT,0.0,1,326.3699517792634,6.8289659928626705,32.0
